doc_key,anno_key,sample_id,doc_num,anno_num,context,software_name,version,publisher,url,DOI,cord_sha,doc_title,doc_subtitle,journal_title,journal_short_title,document_type,journal_subject,journal_issue,issue_dates,journal_publisher,doc_link,jif_rank,jif,journal_total_cites,stratum,mention_density,mention_density_group,group_num,references,ref_id_list,refs,ref_id,ref_key,tei,refKey,ref_doc_key,issue_year,issue_month,issue_day
60c614b47723bebd86683cbe,60c614b47723bebd86683cc0,'0-0-0',0,0,"We used an algorithm, PocketFinder 81 , to estimate the quality of potential ligand-binding pockets formed from a representative set of RNAs.",PocketFinder,,,,10.1038/nrd.2018.93,5b833b7e5501944dfe1db8a6657e05360661353d,Principles for targeting RNA with drug-like small molecules,,Nature Reviews Drug Discovery,Nat Rev Drug Discov,journal-article,"['Pharmacology', 'Drug Discovery', 'General Medicine']",8,"2018, 7, 6",Springer Science and Business Media LLC,"[{'URL': 'http://www.nature.com/articles/nrd.2018.93.pdf', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'application/pdf'}, {'URL': 'http://www.nature.com/articles/nrd.2018.93', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/html'}, {'URL': 'http://www.nature.com/doifinder/10.1038/nrd.2018.93', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'unspecified'}, {'URL': 'http://www.nature.com/articles/nrd.2018.93.pdf', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'application/pdf'}]",4.0,84.694,"41,989","[1,10]",1,"[0,1]",0,"[{'offsetStart': 43109, 'normalizedForm': '81', 'refKey': 55, 'label': '81', 'reference_id': {'$oid': '60c614b47723bebd86683cbf'}, 'offsetEnd': 43112, 'boundingBoxes': [{'x': 305.382, 'h': 5.4226, 'y': 667.554, 'p': 8, 'w': 5.1222}]}]",['60c614b47723bebd86683cbf'],ref_id_1,60c614b47723bebd86683cbf,60c614b47723bebd86683cbf,"<biblStruct xml:id=""b55"">
	<analytic>
		<title level=""a"" type=""main"">Pocketome via comprehensive identification and classification of ligand binding envelopes</title>
		<author>
			<persName><forename type=""first"">J</forename><surname>An</surname></persName>
		</author>
		<author>
			<persName><forename type=""first"">M</forename><surname>Totrov</surname></persName>
		</author>
		<author>
			<persName><forename type=""first"">R</forename><surname>Abagyan</surname></persName>
		</author>
	</analytic>
	<monogr>
		<title level=""j"">Mol. Cell. Proteomics</title>
		<imprint>
			<biblScope unit=""volume"">4</biblScope>
			<biblScope unit=""page"" from=""752"" to=""761"" />
			<date type=""published"" when=""2005"" />
		</imprint>
	</monogr>
</biblStruct>
",55.0,60c614b47723bebd86683cbe,2018, 7, 6
60c7def87723bebd8669ef12,60c7def87723bebd8669ef13,'0-1-0',1,0,"Sequences for full-length DUB and SENP (sentrin/SUMO-specific protease) proteins were aligned with COBALT (constraint-based multiple alignment tool), a computational tool for multiple protein sequences, and subsequently visualized with FigTree v1.4.3.",COBALT (constraint-based multiple alignment tool,,,,10.1038/nrd.2017.152,be0b956b1af0198aaec423ad1087bb0322b77d10,Deubiquitylating enzymes and drug discovery: emerging opportunities,,Nature Reviews Drug Discovery,Nat Rev Drug Discov,journal-article,"['Pharmacology', 'Drug Discovery', 'General Medicine']",1,"2017, 9, 29",Springer Science and Business Media LLC,"[{'URL': 'http://www.nature.com/articles/nrd.2017.152.pdf', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'application/pdf'}, {'URL': 'http://www.nature.com/articles/nrd.2017.152', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/html'}, {'URL': 'http://www.nature.com/doifinder/10.1038/nrd.2017.152', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'unspecified'}, {'URL': 'http://www.nature.com/articles/nrd.2017.152.pdf', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'application/pdf'}]",4.0,84.694,"41,989","[1,10]",1,"[0,1]",0,,,,,,,,,2017, 9, 29
60c612387723bebd86683bba,60c612387723bebd86683bbb,'0-6-0',6,0,"SAS software, version 9.3 (SAS Insti- tute), was used for analyses.",SAS,9.3,SAS Insti- tute,,10.1056/nejmoa1515510,,Low-Dose versus Standard-Dose Intravenous Alteplase in Acute Ischemic Stroke,,New England Journal of Medicine,N Engl J Med,journal-article,,24,"2016, 6, 16",Massachusetts Medical Society,"[{'URL': 'http://www.nejm.org/doi/pdf/10.1056/NEJMoa1515510', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'unspecified'}]",3.0,91.245,"464,351","[1,10]",1,"[0,1]",0,,,,,,,,,2016, 6, 16
60c6f21f7723bebd86690980,60c6f21f7723bebd86690981,'0-7-0',7,0,"To determine the risk factors associated with each outcome, logistic regression analysis was performed  using Stata version 12 (College Station, Texas, 2011).",Stata,12,,,10.1056/nejmc2029354,13d75fe3dd198fa8e845fa7fd6fab84940e085dc; b65d67807a3803dce01e970757871eddc164f3c3,Risk Factors for SARS-CoV-2 in a Statewide Correctional System,,New England Journal of Medicine,N Engl J Med,journal-article,['General Medicine'],25,"2020, 12, 17",Massachusetts Medical Society,"[{'URL': 'http://www.nejm.org/doi/pdf/10.1056/NEJMc2029354', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'unspecified'}]",3.0,91.245,"464,351","[1,10]",1,"[0,1]",0,,,,,,,,,2020, 12, 17
60c6e17a7723bebd8668f989,60c6e17a7723bebd8668f98a,'0-14-0',14,0,"All analyses were performed with the use of SAS software, version 9.4 (SAS Institute).",SAS,9.4,SAS Institute,,10.1056/nejmoa1914735,,Uterine-Artery Embolization or Myomectomy for Uterine Fibroids,,New England Journal of Medicine,N Engl J Med,journal-article,['General Medicine'],5,"2020, 7, 30",Massachusetts Medical Society,"[{'URL': 'http://www.nejm.org/doi/pdf/10.1056/NEJMoa1914735', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'unspecified'}]",3.0,91.245,"464,351","[1,10]",1,"[0,1]",0,,,,,,,,,2020, 7, 30
60c6347e7723bebd86685929,60c6347e7723bebd8668592a,'0-16-0',16,0,"The analysis was performed with the STATA statistical software, version 15.1 MP, Par- allel Edition (StataCorp).",STATA,15.1 MP,StataCorp,,10.1056/nejmoa2031304,0097b6c04e34bc093fe1693c9e3fd971fca084b0; 96ff8021aa099f832a56a4d15683fc926dc5c3ab; 46f1f499371779cb0f08f8be5fbbf5f40e84c8f0,A Randomized Trial of Convalescent Plasma in Covid-19 Severe Pneumonia,,New England Journal of Medicine,N Engl J Med,journal-article,['General Medicine'],7,"2021, 2, 18",Massachusetts Medical Society,"[{'URL': 'http://www.nejm.org/doi/pdf/10.1056/NEJMoa2031304', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'unspecified'}]",3.0,91.245,"464,351","[1,10]",1,"[0,1]",0,,,,,,,,,2021, 2, 18
60c70b767723bebd866921f8,60c70b767723bebd866921f9,'0-19-0',19,0,or the Interactive Tree of Life (itol.embl.de). 9,Interactive Tree of Life,,,.,10.1056/nejmsr1813907,,Pathogen Genomics in Public Health,,New England Journal of Medicine,N Engl J Med,journal-article,['General Medicine'],26,"2019, 12, 26",Massachusetts Medical Society,"[{'URL': 'http://www.nejm.org/doi/pdf/10.1056/NEJMsr1813907', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'unspecified'}]",3.0,91.245,"464,351","[1,10]",1,"[0,1]",0,,,,,,,,,2019, 12, 26
60c8329c7723bebd866a3a58,60c8329c7723bebd866a3a59,'0-25-0',25,0,"We placed a weakly informative Half-Normal prior on the standard deviations of the experimental  error distributions σi:  σi ~ Half-Normal(0, 2)  Markov Chain Monte Carlo Methods  We drew posterior samples using Stan, which implements a No-U-Turn Sampler (a form of Markov  Chain Monte Carlo).",Stan,,,,10.1056/nejmc2004973,705ffac6a353567613f501fbe0a987a7639d4cb5; c291be92616cec747739620fa69d87d7175901dd; 80e3df981027499564370e77556e5044f16909c0,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1,,New England Journal of Medicine,N Engl J Med,journal-article,['General Medicine'],16,"2020, 4, 16",Massachusetts Medical Society,"[{'URL': 'http://www.nejm.org/doi/pdf/10.1056/NEJMc2004973', 'content-version': 'vor', 'intended-application': 'syndication', 'content-type': 'application/pdf'}, {'URL': 'http://www.nejm.org/doi/pdf/10.1056/NEJMc2004973', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'unspecified'}]",3.0,91.245,"464,351","[1,10]",1,"[0,1]",0,,,,,,,,,2020, 4, 16
60c8c7f27723bebd866ac7ff,60c8c7f27723bebd866ac800,'1-1-0',1,0,"Remarkably, essential SARS-CoV contact residues that interact with ACE2 were highly con- served in SARS-CoV-2 as well as in members of the species Severe acute respiratory syndrome-related coro- navirus that use ACE2 or have similar amino acid side  The spike gene sequence alignment was performed using MUSCLE and using the default settings and codon alignment, then translated into amino acids using MEGA7 , version 7.0.26.",MUSCLE,,,,10.1038/s41579-020-00468-6,33958c7e6f936b3359cd6324fdbe60ae07a38f74,Coronavirus biology and replication: implications for SARS-CoV-2,,Nature Reviews Microbiology,Nat Rev Microbiol,journal-article,['General Immunology and Microbiology'],3,"2020, 10, 28",Springer Science and Business Media LLC,"[{'URL': 'http://www.nature.com/articles/s41579-020-00468-6.pdf', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'application/pdf'}, {'URL': 'http://www.nature.com/articles/s41579-020-00468-6', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/html'}, {'URL': 'http://www.nature.com/articles/s41579-020-00468-6.pdf', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'application/pdf'}]",10.0,60.633,"43,313","[1,10]",2,"[2,8]",1,,,,,,,,,2020, 10, 28
60c7d41a7723bebd8669e43c,60c7d41a7723bebd8669e43e,'1-3-0',3,0,Low- quality bases were trimmed from the 3' end of reads and 3' adapter was trimmed using FASTQ/A Clipper with default settings (Hannon lab).,FASTQ/A Clipper,,Hannon lab,,10.1056/nejmc2033369,,Microvascular Injury in the Brains of Patients with Covid-19,,New England Journal of Medicine,N Engl J Med,journal-article,['General Medicine'],5,"2021, 2, 4",Massachusetts Medical Society,"[{'URL': 'http://www.nejm.org/doi/pdf/10.1056/NEJMc2033369', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'unspecified'}]",3.0,91.245,"464,351","[1,10]",4,"[2,8]",1,,,,,,,,,2021, 2, 4
